Aggiudicatari;Importi;Categorie
5;87865;11
79;8265;11
78;199020;10
8;26808;3
105;88800;12
65;100000;43
119;174600;38
146;7062;24
152;12000;15
153;505075;13
154;709683;40
510;34000;17
85;8264;4
120;902347;9
78;10500;3
52;5000;11
160;29950;8
100;25950;15
120;3072;29
165;3075;44
166;794810;42
148;296700;43
78;9000;16
120;10000;4
119;6150;22
99;29420;31
134;19900;21
78;17550;38
241;25000;8
92;5706;15
45;800;47
511;303;5
30;114;33
30;363;48
511;1460;41
512;8745;2
513;5787;12
513;5821;18
45;3262;48
514;28750;21
458;5925;34
270;7500;47
65;9400;34
246;11417;1
515;46625;12
54;2490;26
252;39500;32
251;7246;40
244;18781;17
398;3200;2
1;4430;12
95;19548;23
92;2959;31
95;9902;27
251;3100;26
516;3278;39
442;19689;10
516;4098;47
89;8196;21
54;8264;2
517;7630;17
54;4985;6
92;4606;24
54;2490;39
261;252898;45
417;2300000;36
260;4953;44
258;51768;37
518;5000;7
253;2500;15
256;2800;31
255;2581;8
275;0;5
315;3850;33
460;16000;13
28;39438;38
387;175000;33
519;1000;12
246;9450;39
520;2598;2
521;2353179;12
246;1454;26
257;16393;16
522;53157;42
19;6180;35
18;19470;43
378;8250;12
16;18784;35
248;105861;33
382;59077;15
382;15652;12
402;4857;23
138;342;40
76;14390;20
382;10902;7
264;746177;17
404;15025;35
405;110811;1
29;132893;20
49;1620;29
406;261534;16
407;104085;4
141;25125;13
129;32611;7
361;136427;1
371;6519;40
523;35030;39
524;15713;26
29;31877;23
525;1850;14
526;119885;44
74;34871;44
316;3394;14
411;3507;14
373;2500;9
393;3581;11
325;2459;17
262;3000;37
100;5711;15
100;4741;28
265;713;36
527;120540;15
331;63862;46
395;70000;12
528;24516;46
529;720396;25
374;230009;23
89;9900;29
145;15499;41
87;24484;33
75;4121;39
326;2185;1
369;12506;30
145;3204;46
525;17988;27
530;387;3
54;819;39
382;13175;37
50;161963;19
50;145658;43
531;27282;29
532;31968;16
533;23301;18
524;92919;6
40;15800;46
423;800;1
100;7490;29
534;390;12
133;10000;48
145;60713;8
444;19852;46
535;30202;27
75;8200;27
179;8981;11
73;152;10
70;300;45
382;5498;24
70;650;19
266;5731;20
69;32043;13
45;8900;8
384;50047;41
50;5317;35
249;200;39
268;623585;41
